"S.No","Dish / Product Name","Category","Price (₹)","MRP (₹)","Discount (%)","Unit / Serving","Kitchen Stock","Storefront Status","Menu Section Tags","Product ID","Category ID"
"56","Paneer Cheeze Burger","Fruits & Vegetables","75","75","0","Qty 1","999","VISIBLE (ON)","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv67ku000004jxd0rt6tz2","cmqh1haw30000zcid4vj7i1yj"
"57","Paneer Cheeze Frankie Roll","Fruits & Vegetables","90","90","0","1 Roll","999","VISIBLE (ON)","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7jiiy000204jv9ggxmt64","cmqh1haw30000zcid4vj7i1yj"
"58","Paneer Cheeze Garlic Bread","Fruits & Vegetables","115","115","0","Qty 1 (4 Pcs)","999","VISIBLE (ON)","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxwyd8000104jxwte0tsvg","cmqh1haw30000zcid4vj7i1yj"
"59","Paneer Cheeze Sandwitch","Fruits & Vegetables","90","90","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvscox000004i88wio37ya","cmqh1haw30000zcid4vj7i1yj"
"60","Paneer Frankie Roll","Fruits & Vegetables","80","80","0","1 Roll","999","VISIBLE (ON)","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7h4vv000104jv1m9nmhvo","cmqh1haw30000zcid4vj7i1yj"
"61","Paneer Fried Momos","Fruits & Vegetables","65","65","0","8 Pcs","999","VISIBLE (ON)","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi3xox3000104l4gspat3pi","cmqh1haw30000zcid4vj7i1yj"
"62","Paneer Fried Rice","Fruits & Vegetables","105","105","0","1 Plate","999","VISIBLE (ON)","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdbztr000104jswmqy0lxx","cmqh1haw30000zcid4vj7i1yj"
"63","Paneer Kathi Roll","Fruits & Vegetables","90","90","0","1 Roll","999","VISIBLE (ON)","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7kgcm000304jvmx7w0kma","cmqh1haw30000zcid4vj7i1yj"
"64","Paneer Makhani Pizza","Fruits & Vegetables","149","159","6","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhts7vn000004l1tom75kqk","cmqh1haw30000zcid4vj7i1yj"
"65","Paneer Noodles","Fruits & Vegetables","95","95","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi21si4000004jubnu2g1cx","cmqh1haw30000zcid4vj7i1yj"
"66","Paneer Sandwitch","Fruits & Vegetables","80","80","0","Qty 1","997","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvpaww000204jx72plxjya","cmqh1haw30000zcid4vj7i1yj"
"67","Pizza Sandwitch","Fruits & Vegetables","135","135","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvyb4x000204i8q8a2npdz","cmqh1haw30000zcid4vj7i1yj"
"68","Red Sauce Pasta","Fruits & Vegetables","115","115","0","1 Plate","999","VISIBLE (ON)","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqiggt09000004l86a1apssj","cmqh1haw30000zcid4vj7i1yj"
"69","Red Velvet ","Ice Cream","29","30","3","Qty 1","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfr6fb000004l5gs8c9bsg","cmqgzqfv70007vkider7h6e4j"
"70","Sezwan Noodles","Fruits & Vegetables","90","90","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi273r1000004ic6e36qx4z","cmqh1haw30000zcid4vj7i1yj"
"71","Sezwan Rice","Fruits & Vegetables","95","95","0","1 Plate","999","VISIBLE (ON)","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdjt3i000004jseqdvheia","cmqh1haw30000zcid4vj7i1yj"
"72","Sezwan Sauce Pasta","Fruits & Vegetables","95","95","0","1 Plate","999","VISIBLE (ON)","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqigfcf4000004ldcqc58t9f","cmqh1haw30000zcid4vj7i1yj"
"73","Shahi Mewa Kulfi","Ice Cream","29","30","3","Qty 1","99996","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfvjgq000104l4jzjyxrur","cmqgzqfv70007vkider7h6e4j"
"74","Shahi Tukda","Ice Cream","97","99","2","250 ml","0 (Sold Out)","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg9l74000004i9nnt8lhxb","cmqgzqfv70007vkider7h6e4j"
"75","Singapuri Noodles","Fruits & Vegetables","105","105","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2l00e000004l1i0tlf3uw","cmqh1haw30000zcid4vj7i1yj"
"76","Singapuri Rice","Fruits & Vegetables","115","115","0","1 Plate","999","VISIBLE (ON)","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdsq0u000104js445kl6jw","cmqh1haw30000zcid4vj7i1yj"
"77","Special Sandwich","Fruits & Vegetables","100","100","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhw38rc000004l4wbswlwzc","cmqh1haw30000zcid4vj7i1yj"
"78","Spicy Veggie Pizza","Fruits & Vegetables","149","159","6","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhtzt1t000004jorbi3qwp4","cmqh1haw30000zcid4vj7i1yj"
"79","Spring Roll","Fruits & Vegetables","50","50","0","1 Plate","996","VISIBLE (ON)","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi41wcm000004jpiod6g5ko","cmqh1haw30000zcid4vj7i1yj"
"80","Strawberry ","Ice Cream","124","125","1","700 ml","99999","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg55jp000304l47x2ncvoz","cmqgzqfv70007vkider7h6e4j"
"81","Strawberry Shake","Fruits & Vegetables","85","85","0","300 ml","999","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzo083000204ic1ujhimgj","cmqh1haw30000zcid4vj7i1yj"
"82","Strawberry Sundae ","Ice Cream","39","40","2","Qty 1","0 (Sold Out)","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfzomx000004l4urg5mgm7","cmqgzqfv70007vkider7h6e4j"
"83","Super Duper Sundae ","Ice Cream","39","40","2","Qty 1","0 (Sold Out)","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfyxnn000104jjkijr9vrp","cmqgzqfv70007vkider7h6e4j"
"84","Sweet Corn Pizza","Fruits & Vegetables","129","139","7","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhtmaqg000004ld19thbri9","cmqh1haw30000zcid4vj7i1yj"
"85","Tandoori Paneer Pizza","Fruits & Vegetables","149","159","6","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhtugvz000004jmp6yuo0xi","cmqh1haw30000zcid4vj7i1yj"
"86","Tomato Pizza","Fruits & Vegetables","109","119","8","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqht3pis000004jmml4tir0s","cmqh1haw30000zcid4vj7i1yj"
"87","Trixy Brownie ","Ice Cream","29","30","3","Qty 1","0 (Sold Out)","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg0k8u000004l4kdo9ugla","cmqgzqfv70007vkider7h6e4j"
"88","Tuti Frutti","Ice Cream","172","175","2","700 ml","99998","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg5x4m000404l40ial07dy","cmqgzqfv70007vkider7h6e4j"
"89","Vanilla","Ice Cream","99","100","1","700 ml","99999","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg46kk000204l4en3571ef","cmqgzqfv70007vkider7h6e4j"
"90","Vanilla cup","Ice Cream","19","20","5","","99997","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmrubrdye000004jrq5gxgmkp","cmqgzqfv70007vkider7h6e4j"
"91","Vanilla Shake","Fruits & Vegetables","85","85","0","300 ml","999","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzlgby000004icf92dj6ua","cmqh1haw30000zcid4vj7i1yj"
"92","Veg Burger","Fruits & Vegetables","40","40","0","Qty 1","997","VISIBLE (ON)","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv1hej000004ibh5q6wzgg","cmqh1haw30000zcid4vj7i1yj"
"93","Veg Frankie Roll","Fruits & Vegetables","70","70","0","1 Roll","998","VISIBLE (ON)","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7g0ms000004jvs6xbmk8f","cmqh1haw30000zcid4vj7i1yj"
"94","Veg Fried Momos","Fruits & Vegetables","50","50","0","8 pcs","999","VISIBLE (ON)","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi3vz1u000004l4spawcpbv","cmqh1haw30000zcid4vj7i1yj"
"95","Veg Fried Rice","Fruits & Vegetables","80","80","0","1 Plate","997","VISIBLE (ON)","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjd9nvb000004jsfg3ewbza","cmqh1haw30000zcid4vj7i1yj"
"96","Veg Masala Sandwitch","Fruits & Vegetables","70","70","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvmm7b000004jxhu7strzq","cmqh1haw30000zcid4vj7i1yj"
"97","Veg Noodles","Fruits & Vegetables","60","60","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi1tksh000004icq037c12i","cmqh1haw30000zcid4vj7i1yj"
"98","Veg Special Pizza","Fruits & Vegetables","169","179","6","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhuctgp000004joxvh4wa9e","cmqh1haw30000zcid4vj7i1yj"
"99","Veggie Delite Pizza","Fruits & Vegetables","189","199","5","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhuj9qq000004jod1cke6xa","cmqh1haw30000zcid4vj7i1yj"
"100","Veggie Overloaded Pizza","Fruits & Vegetables","165","169","2","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhuaceu000004ju23hbam9a","cmqh1haw30000zcid4vj7i1yj"
"101","Veggie Paneer Pizza","Fruits & Vegetables","189","199","5","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhufwcw000104joyujs402c","cmqh1haw30000zcid4vj7i1yj"
"102","Virgin Mojito","Fruits & Vegetables","80","80","0","300 ml","999","VISIBLE (ON)","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhypc4i000104juf55gz7m2","cmqh1haw30000zcid4vj7i1yj"
"103","Waaah Aam","Ice Cream","29","30","3","Qty 1","0 (Sold Out)","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfpzwg000104kzm5mvvtfb","cmqgzqfv70007vkider7h6e4j"
"104","Watermelon Mojito","Fruits & Vegetables","80","80","0","300 ml","999","VISIBLE (ON)","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhz2aa5000404jufuw5zn2t","cmqh1haw30000zcid4vj7i1yj"
"105","White Sauce Pasta","Fruits & Vegetables","125","125","0","1 Plate","999","VISIBLE (ON)","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqighzcw000104l85q9krcrq","cmqh1haw30000zcid4vj7i1yj"
