"S.No","Product Name","Type / Outlet","Category","Price (₹)","MRP (₹)","Unit","Stock","Status","Tags","Product ID","Restaurant ID"
"56","Paneer Cheeze Burger","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","75","75","Qty 1","999","ACTIVE","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv67ku000004jxd0rt6tz2","cms2p1lap0000n0id8alldboy"
"57","Paneer Cheeze Frankie Roll","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","1 Roll","999","ACTIVE","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7jiiy000204jv9ggxmt64","cms2p1lap0000n0id8alldboy"
"58","Paneer Cheeze Garlic Bread","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","115","115","Qty 1 (4 Pcs)","999","ACTIVE","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxwyd8000104jxwte0tsvg","cms2p1lap0000n0id8alldboy"
"59","Paneer Cheeze Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvscox000004i88wio37ya","cms2p1lap0000n0id8alldboy"
"60","Paneer Frankie Roll","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","1 Roll","999","ACTIVE","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7h4vv000104jv1m9nmhvo","cms2p1lap0000n0id8alldboy"
"61","Paneer Fried Momos","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","65","65","8 Pcs","999","ACTIVE","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi3xox3000104l4gspat3pi","cms2p1lap0000n0id8alldboy"
"62","Paneer Fried Rice","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","105","105","1 Plate","999","ACTIVE","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdbztr000104jswmqy0lxx","cms2p1lap0000n0id8alldboy"
"63","Paneer Kathi Roll","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","1 Roll","999","ACTIVE","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7kgcm000304jvmx7w0kma","cms2p1lap0000n0id8alldboy"
"64","Paneer Makhani Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","149","159","Qty 1","999","ACTIVE","pizza, restaurant","cmqhts7vn000004l1tom75kqk","cms2p1lap0000n0id8alldboy"
"65","Paneer Noodles","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","999","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi21si4000004jubnu2g1cx","cms2p1lap0000n0id8alldboy"
"66","Paneer Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","Qty 1","997","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvpaww000204jx72plxjya","cms2p1lap0000n0id8alldboy"
"67","Pizza Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","135","135","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvyb4x000204i8q8a2npdz","cms2p1lap0000n0id8alldboy"
"68","Red Sauce Pasta","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","115","115","1 Plate","999","ACTIVE","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqiggt09000004l86a1apssj","cms2p1lap0000n0id8alldboy"
"69","Red Velvet ","A.S. Restaurant (as-restaurant)","Ice Cream","29","30","Qty 1","99999","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfr6fb000004l5gs8c9bsg","cms2p1lap0000n0id8alldboy"
"70","Sezwan Noodles","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","90","90","1 Plate","999","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi273r1000004ic6e36qx4z","cms2p1lap0000n0id8alldboy"
"71","Sezwan Rice","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","999","ACTIVE","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdjt3i000004jseqdvheia","cms2p1lap0000n0id8alldboy"
"72","Sezwan Sauce Pasta","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","999","ACTIVE","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqigfcf4000004ldcqc58t9f","cms2p1lap0000n0id8alldboy"
"73","Shahi Mewa Kulfi","A.S. Restaurant (as-restaurant)","Ice Cream","29","30","Qty 1","99996","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfvjgq000104l4jzjyxrur","cms2p1lap0000n0id8alldboy"
"74","Shahi Tukda","A.S. Restaurant (as-restaurant)","Ice Cream","97","99","250 ml","0","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg9l74000004i9nnt8lhxb","cms2p1lap0000n0id8alldboy"
"75","Singapuri Noodles","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","105","105","1 Plate","999","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2l00e000004l1i0tlf3uw","cms2p1lap0000n0id8alldboy"
"76","Singapuri Rice","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","115","115","1 Plate","999","ACTIVE","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjdsq0u000104js445kl6jw","cms2p1lap0000n0id8alldboy"
"77","Special Sandwich","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","100","100","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhw38rc000004l4wbswlwzc","cms2p1lap0000n0id8alldboy"
"78","Spicy Veggie Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","149","159","Qty 1","999","ACTIVE","pizza, restaurant","cmqhtzt1t000004jorbi3qwp4","cms2p1lap0000n0id8alldboy"
"79","Spring Roll","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","50","50","1 Plate","996","ACTIVE","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi41wcm000004jpiod6g5ko","cms2p1lap0000n0id8alldboy"
"80","Strawberry ","A.S. Restaurant (as-restaurant)","Ice Cream","124","125","700 ml","99999","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg55jp000304l47x2ncvoz","cms2p1lap0000n0id8alldboy"
"81","Strawberry Shake","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","85","85","300 ml","999","ACTIVE","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzo083000204ic1ujhimgj","cms2p1lap0000n0id8alldboy"
"82","Strawberry Sundae ","A.S. Restaurant (as-restaurant)","Ice Cream","39","40","Qty 1","0","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfzomx000004l4urg5mgm7","cms2p1lap0000n0id8alldboy"
"83","Super Duper Sundae ","A.S. Restaurant (as-restaurant)","Ice Cream","39","40","Qty 1","0","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfyxnn000104jjkijr9vrp","cms2p1lap0000n0id8alldboy"
"84","Sweet Corn Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","129","139","Qty 1","999","ACTIVE","pizza, restaurant","cmqhtmaqg000004ld19thbri9","cms2p1lap0000n0id8alldboy"
"85","Tandoori Paneer Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","149","159","Qty 1","999","ACTIVE","pizza, restaurant","cmqhtugvz000004jmp6yuo0xi","cms2p1lap0000n0id8alldboy"
"86","Tomato Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","109","119","Qty 1","999","ACTIVE","pizza, restaurant","cmqht3pis000004jmml4tir0s","cms2p1lap0000n0id8alldboy"
"87","Trixy Brownie ","A.S. Restaurant (as-restaurant)","Ice Cream","29","30","Qty 1","0","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg0k8u000004l4kdo9ugla","cms2p1lap0000n0id8alldboy"
"88","Tuti Frutti","A.S. Restaurant (as-restaurant)","Ice Cream","172","175","700 ml","99998","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg5x4m000404l40ial07dy","cms2p1lap0000n0id8alldboy"
"89","Vanilla","A.S. Restaurant (as-restaurant)","Ice Cream","99","100","700 ml","99999","HIDDEN","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhg46kk000204l4en3571ef","cms2p1lap0000n0id8alldboy"
"90","Vanilla cup","A.S. Restaurant (as-restaurant)","Ice Cream","19","20","","99997","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmrubrdye000004jrq5gxgmkp","cms2p1lap0000n0id8alldboy"
"91","Vanilla Shake","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","85","85","300 ml","999","ACTIVE","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzlgby000004icf92dj6ua","cms2p1lap0000n0id8alldboy"
"92","Veg Burger","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","40","40","Qty 1","997","ACTIVE","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv1hej000004ibh5q6wzgg","cms2p1lap0000n0id8alldboy"
"93","Veg Frankie Roll","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","70","70","1 Roll","998","ACTIVE","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant","cmqj7g0ms000004jvs6xbmk8f","cms2p1lap0000n0id8alldboy"
"94","Veg Fried Momos","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","50","50","8 pcs","999","ACTIVE","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi3vz1u000004l4spawcpbv","cms2p1lap0000n0id8alldboy"
"95","Veg Fried Rice","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","1 Plate","997","ACTIVE","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant","cmqjd9nvb000004jsfg3ewbza","cms2p1lap0000n0id8alldboy"
"96","Veg Masala Sandwitch","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","70","70","Qty 1","999","ACTIVE","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvmm7b000004jxhu7strzq","cms2p1lap0000n0id8alldboy"
"97","Veg Noodles","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","60","60","1 Plate","999","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi1tksh000004icq037c12i","cms2p1lap0000n0id8alldboy"
"98","Veg Special Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","169","179","Qty 1","999","ACTIVE","pizza, restaurant","cmqhuctgp000004joxvh4wa9e","cms2p1lap0000n0id8alldboy"
"99","Veggie Delite Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","189","199","Qty 1","999","ACTIVE","pizza, restaurant","cmqhuj9qq000004jod1cke6xa","cms2p1lap0000n0id8alldboy"
"100","Veggie Overloaded Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","165","169","Qty 1","999","ACTIVE","pizza, restaurant","cmqhuaceu000004ju23hbam9a","cms2p1lap0000n0id8alldboy"
"101","Veggie Paneer Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","189","199","Qty 1","999","ACTIVE","pizza, restaurant","cmqhufwcw000104joyujs402c","cms2p1lap0000n0id8alldboy"
"102","Virgin Mojito","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","300 ml","999","ACTIVE","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhypc4i000104juf55gz7m2","cms2p1lap0000n0id8alldboy"
"103","Waaah Aam","A.S. Restaurant (as-restaurant)","Ice Cream","29","30","Qty 1","0","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfpzwg000104kzm5mvvtfb","cms2p1lap0000n0id8alldboy"
"104","Watermelon Mojito","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","80","80","300 ml","999","ACTIVE","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhz2aa5000404jufuw5zn2t","cms2p1lap0000n0id8alldboy"
