"S.No","Product ID","Product / Dish Name","Outlet / Type","Category Name","Category Slug","Price (₹)","MRP (₹)","Discount (%)","Unit","Stock","Storefront Status","Menu Tags","Restaurant ID","Category ID"
"38","cmqhrugyu000004i98zvpckjq","Onion Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","109","119","8","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"39","cmqhzvpd3000104l1zw5ckyhs","Oreo Chocolate Shake","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","100","100","0","300 ml","999","ACTIVE (VISIBLE)","shakes, shake, milkshake, milkshakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"40","cmqhv2kmm000104ib8qg2hypi","Paneer Burger","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","50","50","0","","99999","ACTIVE (VISIBLE)","burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"41","cmqhv67ku000004jxd0rt6tz2","Paneer Cheeze Burger","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","75","75","0","","99999","ACTIVE (VISIBLE)","burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"42","cmqj7jiiy000204jv9ggxmt64","Paneer Cheeze Frankie Roll","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","","99999","ACTIVE (VISIBLE)","frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"43","cmqhxwyd8000104jxwte0tsvg","Paneer Cheeze Garlic Bread","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","115","115","0","4 Pcs","99999","ACTIVE (VISIBLE)","garlic-bread, garlic bread, garlic-breads, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"44","cmqhvscox000004i88wio37ya","Paneer Cheeze Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"45","cmqj7h4vv000104jv1m9nmhvo","Paneer Frankie Roll","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","","99999","ACTIVE (VISIBLE)","frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"46","cmqi3xox3000104l4gspat3pi","Paneer Fried Momos","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","65","65","0","8 Pcs","999","ACTIVE (VISIBLE)","hot-bite, snacks, momos, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"47","cmqjdbztr000104jswmqy0lxx","Paneer Fried Rice","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","105","105","0","","99999","ACTIVE (VISIBLE)","rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"48","cmqj7kgcm000304jvmx7w0kma","Paneer Kathi Roll","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","","99999","ACTIVE (VISIBLE)","frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"49","cmqhts7vn000004l1tom75kqk","Paneer Makhani Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","149","159","6","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"50","cmqi21si4000004jubnu2g1cx","Paneer Noodles","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
