Product ID,Product Name,Category ID,Category Name,Category Slug,Outlet / Restaurant,Price (Rs),MRP (Rs),Discount (%),Unit,Stock,Is Available,Is Flash Deal,Is Best Seller,Tags,Image URL
"cmqky7val000104l8zcpiqth6","Cauliflower (Gobhi)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",70,80,13,"1 pcs",0,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554696/wwgycuzk15hogk3pwjef.png"
"cmqknhwh9000004i82podj2w7","Cucumber  (Kheera)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",70,80,13,"1 pc",100,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554692/npprv3bcy9wafn8uocpa.jpg"
"cmqj19zrs000004lb405f3g1n","Dragon Fruit ","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",80,85,6,"1 pc ",47,YES,NO,NO,"fresh, fruits, vegetables","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554690/puexgq3mqca1e1dadg1k.png"
"cmqij41kj000004l7zi217u83","Fresh Apples","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",230,250,8,"1 kg",37,YES,NO,NO,"fresh, fruits, vegetables, breakfast","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554669/tkxz8ldt0v7ocdfw9wih.png"
"cmqkvkbn2000104l5tksmvbmy","Garlic (Lahsun)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",65,80,19,"",30,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554760/zmnpifqoxuw5soumn6nf.png"
"cmqknppqv000004i8rog9jorb","Ginger (Adrak)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",50,60,17,"1 pc",97,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554691/dcfdy5owmwsjnmgdstuq.jpg"
"cmqj1djwx000104lbs9z4mcr9","Grapes(Angoor)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",160,165,3,"1kg",47,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554684/snbwpzom9troovchwsqu.png"
"cmqkwd383000004l1c9xtga57","Green Brinjal (Baigan)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",25,30,17,"",96,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554786/nj2vljo9ynspxfmqqlrx.png"
"cmqktjc3n000004ldxa279qoe","Green Chili (Hari Mirch)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",25,30,17,"",96,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554751/y5ttqtbzex12filmom2q.jpg"
"cmqktxom8000004ibncjatoqx","Green Corriander (Hari Dhaniya)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",15,20,25,"",137,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554783/rthgwk5dvsnch0ze8cf2.png"
